num,"C(0,1)",cv,cl,f'c(Mpa),ρc(kg/m3),da(mm),"rd(0,1)",d(mm),b(mm),w(mm),tn(mm),dt(mm),Av(mm2),Al(mm2),Vf,lf,df,fv,fl,v
84,1,9.412927334,42.39,27.61350179,1586.538462,12.7,1,254,127,304.8,0,152.4,850.155,2279.0277,0,0,0,357.161,600,8.20476083
85,0,1.508248974,42.39,28.57876777,1570.512821,12.7,1,254,127,304.8,0,152.4,141.6925,2279.0277,0,0,0,343.371,600,2.7579028
86,0,3.137642445,42.39,26.75165716,1538.461538,12.7,1,254,127,304.8,0,152.4,283.385,2279.0277,0,0,0,357.161,600,4.27474934
87,0,4.706463667,42.39,28.2685037,1538.461538,12.7,1,254,127,304.8,0,152.4,425.0775,2279.0277,0,0,0,357.161,600,5.970859562
88,0,6.27528489,42.39,30.47482594,1554.487179,12.7,1,254,127,304.8,0,152.4,566.77,2279.0277,0,0,0,357.161,600,6.48107158
89,0,7.647246306,42.39,27.23429015,1586.538462,12.7,1,254,127,304.8,0,152.4,708.4625,2279.0277,0,0,0,348.1975,600,6.82580943
90,0,9.049493847,42.39,28.13060856,1570.512821,12.7,1,254,127,304.8,0,152.4,850.155,2279.0277,0,0,0,343.371,600,7.184336794
91,1,0,42.39,27.1308688,2323.717949,12.7,0,254,127,304.8,0,152.4,0,2279.0277,0,0,0,0,600,4.06790663
92,1,1.541563711,42.39,28.82008426,2323.717949,12.7,1,254,127,304.8,0,152.4,141.6925,2279.0277,0,0,0,350.9555,600,5.24001532
93,1,3.192157468,42.39,26.8895523,2323.717949,12.7,1,254,127,304.8,0,152.4,283.385,2279.0277,0,0,0,363.3665,600,6.75686186
94,1,4.751892853,42.39,27.54455422,2371.794872,12.7,1,254,127,304.8,0,152.4,425.0775,2279.0277,0,0,0,360.6085,600,7.65318027
95,1,6.166254843,42.39,28.61324155,2323.717949,12.7,1,254,127,304.8,0,152.4,566.77,2279.0277,0,0,0,350.9555,600,7.86002298
96,1,7.98039367,42.39,27.1308688,2339.74359,12.7,1,254,127,304.8,0,152.4,708.4625,2279.0277,0,0,0,363.3665,600,8.82528896
97,1,9.576472404,42.39,28.40639884,2323.717949,12.7,1,254,127,304.8,0,152.4,850.155,2279.0277,0,0,0,363.3665,600,9.10107924
98,0,1.541563711,42.39,28.82008426,2323.717949,12.7,1,254,127,304.8,0,152.4,141.6925,2279.0277,0,0,0,350.9555,600,3.17158822
99,0,3.192157468,42.39,26.8895523,2323.717949,12.7,1,254,127,304.8,0,152.4,283.385,2279.0277,0,0,0,363.3665,600,5.37791046
100,0,4.751892853,42.39,27.54455422,2371.794872,12.7,1,254,127,304.8,0,152.4,425.0775,2279.0277,0,0,0,360.6085,600,6.61896672
101,0,6.166254843,42.39,28.61324155,2323.717949,12.7,1,254,127,304.8,0,152.4,566.77,2279.0277,0,0,0,350.9555,600,7.92897055
102,0,7.707818554,42.39,27.1308688,2339.74359,12.7,1,254,127,304.8,0,152.4,708.4625,2279.0277,0,0,0,350.9555,600,8.101339475
103,0,9.085837195,42.39,28.40639884,2323.717949,12.7,1,254,127,304.8,0,152.4,850.155,2279.0277,0,0,0,344.75,600,8.20476083
104,0,2.43,7.536,28.361,2406,16,1,300,120,400,0,150,201.6,452.16,0,0,0,433.9285714,600,5.08
105,0,2.43,7.536,24.253,2406,16,1,300,120,400,0,150,201.6,452.16,0,0,0,433.9285714,600,5.5
106,0,2.43,7.536,23.226,2406,16,1,300,120,400,0,150,201.6,452.16,0,0,0,433.9285714,600,5.08
107,0,4.86,7.536,24.253,2406,16,1,300,120,400,0,150,403.2,452.16,0,0,0,433.9285714,600,6.44
108,0,7.29,7.536,24.253,2406,16,1,300,120,400,0,150,604.8,452.16,0,0,0,433.9285714,600,7.39
109,0,9.72,7.536,28.361,2406,16,1,300,120,400,0,150,802.8,452.16,0,0,0,435.8744395,600,7.78
110,0,9.72,7.536,24.253,2406,16,1,300,120,400,0,150,802.8,452.16,0,0,0,435.8744395,600,7.08
111,0,9.72,7.536,23.226,2406,16,1,300,120,400,0,150,802.8,452.16,0,0,0,435.8744395,600,8.39
112,0,9.72,7.536,23.226,2406,16,1,300,120,400,0,150,802.8,452.16,0,0,0,435.8744395,600,8.58
113,0,5.58,5.128666667,25.043,2406,16,1,300,120,400,0,150,396,307.72,0,0,0,507.2727273,600,7.19
