num,"C(0,1)",cv,cl,f'c(Mpa),ρc(kg/m3),da(mm),"rd(0,1)",d(mm),b(mm),w(mm),tn(mm),dt(mm),Av(mm2),Al(mm2),Vf,lf,df,fv,fl,v
251,1,0,0,28.914,2371.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.23
252,1,0,0,37.209,2402,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.93
253,1,0,0,37.209,2402,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.93
254,1,0,0,37.209,2402,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.93
255,1,0,0,37.209,2402,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.93
256,1,0,0,37.209,2402,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.93
257,1,0,0,37.209,2402,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.93
258,1,0,0,44.872,2444.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.26
259,1,0,0,44.872,2444.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.26
260,1,0,0,44.872,2444.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.26
261,1,0,0,44.872,2444.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.26
262,1,0,0,44.872,2444.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.26
263,1,0,0,44.872,2444.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.26
264,1,0,0,15.168,2192,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.82
265,1,0,0,15.168,2192,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.82
266,1,0,0,15.168,2192,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.82
267,1,0,0,15.168,2192,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.82
268,1,0,0,15.168,2192,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.82
269,1,0,0,15.168,2192,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.82
270,1,0,0,23.7,2187.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.48
271,1,0,0,23.7,2187.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.48
272,1,0,0,23.7,2187.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.48
273,1,0,0,23.7,2187.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.48
274,1,0,0,23.7,2187.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.48
275,1,0,0,23.7,2187.8,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,3.48
276,1,0,0,31.6,2222,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.39
277,1,0,0,31.6,2222,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.39
278,1,0,0,31.6,2222,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.39
279,1,0,0,31.6,2222,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.39
280,1,0,0,31.6,2222,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.39
281,1,0,0,31.6,2222,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.39
282,1,0,0,38.947,2264.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.48
283,1,0,0,38.947,2264.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.48
284,1,0,0,38.947,2264.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.48
285,1,0,0,38.947,2264.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.48
286,1,0,0,38.947,2264.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.48
287,1,0,0,38.947,2264.7,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,5.48
288,1,0,0,16.116,2253.28,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.9
289,1,0,0,16.116,2253.28,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.9
290,1,0,0,16.116,2253.28,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.9
291,1,0,0,16.116,2253.28,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.9
292,1,0,0,16.116,2253.28,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.9
293,1,0,0,16.116,2253.28,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,2.9
294,1,0,0,25.359,2282.52,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.02
295,1,0,0,25.359,2282.52,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.02
296,1,0,0,25.359,2282.52,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.02
297,1,0,0,25.359,2282.52,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.02
298,1,0,0,25.359,2282.52,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.02
299,1,0,0,25.359,2282.52,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.02
300,1,0,0,32.864,2313.27,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.49
301,1,0,0,32.864,2313.27,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.49
302,1,0,0,32.864,2313.27,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.49
303,1,0,0,32.864,2313.27,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.49
304,1,0,0,32.864,2313.27,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.49
305,1,0,0,32.864,2313.27,12.5,0,116,150,150,0,102,0,301.44,0,0,0,0,520,4.49
306,1,3.628444444,18.78459644,30.94,2405,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,8.45
307,1,3.628444444,18.78459644,30.94,2405,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,9.05
308,1,3.628444444,18.78459644,30.94,2405,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,8.65
309,1,3.628444444,18.78459644,30.94,2405,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,8.01
310,1,3.628444444,18.78459644,30.94,2405,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,8.65
311,1,3.628444444,18.78459644,31.41,2365.72,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.84
312,1,3.628444444,18.78459644,25.64,2359.4,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.86
313,1,3.628444444,18.78459644,25.64,2359.4,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.86
314,1,3.628444444,18.78459644,25.64,2359.4,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.5
315,1,3.628444444,18.78459644,25.64,2359.4,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.75
316,1,3.628444444,18.78459644,25.64,2359.4,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.85
317,1,3.628444444,18.78459644,30.06,2348,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,8.73
318,1,3.628444444,18.78459644,30.76,2303,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.43
319,1,3.628444444,18.78459644,30.76,2303,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.92
320,1,3.628444444,18.78459644,30.76,2303,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.2
321,1,3.628444444,18.78459644,30.76,2303,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.43
322,1,3.628444444,18.78459644,30.76,2303,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,8.21
323,1,3.628444444,18.78459644,23.43,2449.8,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,8.12
324,1,3.628444444,18.78459644,33.03,2335,26.5,1,240,150,400,15,185,401.92,1230.88,0,0,0,325,549.4,7.99
